Vessels percentage area,Junctions density,Total Vessels Length,Total Number of End Points,Litter,AnimalID,Genotype
65.034,165.447,14.215,16,35,35-3,+/+
61.498,254.01,16.877,17,35,35-3,+/+
55.247,218.718,15.501,29,35,35-3,+/+
55.219,191.562,14.466,37,35,35-5,DEE/DEE
51.731,190.071,13.181,32,35,35-5,DEE/DEE
53.907,174.866,13.055,47,35,35-5,DEE/DEE
62.636,204.843,15.047,38,36,36-4,DEE/DEE
65.269,240.145,16.008,27,36,36-4,DEE/DEE
60.139,156.45,13.177,28,36,36-4,DEE/DEE
62.869,122.006,11.537,27,36,36-4,DEE/DEE
60.669,204.72,15.433,28,36,36-4,DEE/DEE
61.333,216.73,15.291,39,36,36-4,DEE/DEE
63.128,234.563,16.094,30,36,36-5,+/+
66.961,279.696,17.523,23,36,36-5,+/+
62.807,198.618,14.64,26,36,36-5,+/+
57.924,226.741,15.688,41,37,37-3,DEE/+
65.537,222.559,15.658,24,37,37-3,DEE/+
62.79,186.481,14.624,37,37,37-4,DEE/DEE
51.324,102.248,11.293,22,37,37-4,DEE/DEE
48.762,122.48,12.082,24,37,37-4,DEE/DEE
60.023,182.998,14.277,31,37,37-5,+/+
55.29,133.891,12.258,31,37,37-5,+/+
60.733,141.425,12.772,14,37,37-5,+/+
52.353,141.107,12.792,30,40,40-2,DEE/DEE
52.038,178.062,14.006,40,40,40-2,DEE/DEE
47.504,130.255,11.989,39,40,40-2,DEE/DEE
51.336,149.437,12.696,29,40,40-2,DEE/DEE
52.185,210.607,14.687,33,40,40-2,DEE/DEE
54.936,185.354,14.207,30,40,40-4,DEE/+
50.439,142.21,12.143,35,40,40-4,DEE/+
46.527,140.563,11.96,39,40,40-4,DEE/+
53.996,151.629,13.08,25,40,40-4,DEE/+
55.896,264.559,16.949,53,40,40-6,+/+
56.641,245.953,16.104,45,40,40-6,+/+
52.875,215.249,14.881,51,40,40-6,+/+
60.07,269.113,16.812,36,40,40-6,+/+
58.13,275.792,16.873,49,40,40-6,+/+
52.122,204.024,14.893,47,40,40-6,+/+
49.425,97.278,9.638,30,41,41-3,+/+
50.331,169.294,12.501,50,41,41-3,+/+
56.774,206.58,14.785,32,41,41-3,+/+
48.296,126.464,10.554,43,41,41-3,+/+
43.896,154.345,10.941,44,41,41-3,+/+
51.547,152.809,12.713,46,41,41-4,DEE/DEE
49.45,144.033,12.183,43,41,41-4,DEE/DEE
48.599,88.939,9.076,33,41,41-4,DEE/DEE
58.108,194.03,15.02,53,39,39-1,DEE/+
55.105,166.169,13.584,26,39,39-1,DEE/+
52.109,152.118,12.357,33,39,39-1,DEE/+
54.227,148.982,12.865,33,39,39-1,DEE/+
56.485,164.68,13.591,34,39,39-1,DEE/+
54.484,174.219,13.454,40,39,39-1,DEE/+
50.512,156.557,12.658,51,39,39-2,DEE/DEE
58.361,228.248,15.621,43,39,39-2,DEE/DEE
50.764,145.427,12.84,42,39,39-2,DEE/DEE
48.308,160.876,12.607,48,39,39-2,DEE/DEE
43.956,135.917,11.271,45,39,39-2,DEE/DEE
56.937,183.006,13.999,44,39,39-3,+/+
54.587,240.975,15.677,58,39,39-3,+/+
58.179,234.56,15.682,60,39,39-3,+/+
58.572,239.29,15.882,50,39,39-3,+/+
55.499,234.335,16.143,49,39,39-3,+/+
