Vessels percentage area,Total Number of Junctions,Total Vessels Length,Total Number of End Points,Litter,AnimalID,Genotype
65.034,119,14.215,16,35,35-3,+/+
61.498,183,16.877,17,35,35-3,+/+
55.247,157,15.501,29,35,35-3,+/+
55.219,138,14.466,37,35,35-5,DEE/DEE
51.731,134,13.181,32,35,35-5,DEE/DEE
53.907,125,13.055,47,35,35-5,DEE/DEE
62.636,148,15.047,38,36,36-4,DEE/DEE
65.269,169,16.008,27,36,36-4,DEE/DEE
60.139,113,13.177,28,36,36-4,DEE/DEE
62.869,87,11.537,27,36,36-4,DEE/DEE
60.669,148,15.433,28,36,36-4,DEE/DEE
61.333,156,15.291,39,36,36-4,DEE/DEE
63.128,170,16.094,30,36,36-5,+/+
66.961,202,17.523,23,36,36-5,+/+
62.807,143,14.64,26,36,36-5,+/+
57.924,163,15.688,41,37,37-3,DEE/+
65.537,159,15.658,24,37,37-3,DEE/+
62.79,134,14.624,37,37,37-4,DEE/DEE
51.324,73,11.293,22,37,37-4,DEE/DEE
48.762,88,12.082,24,37,37-4,DEE/DEE
60.023,132,14.277,31,37,37-5,+/+
55.29,96,12.258,31,37,37-5,+/+
60.733,102,12.772,14,37,37-5,+/+
52.353,102,12.792,30,40,40-2,DEE/DEE
52.038,128,14.006,40,40,40-2,DEE/DEE
47.504,94,11.989,39,40,40-2,DEE/DEE
51.336,107,12.696,29,40,40-2,DEE/DEE
52.185,151,14.687,33,40,40-2,DEE/DEE
54.936,133,14.207,30,40,40-4,DEE/+
50.439,102,12.143,35,40,40-4,DEE/+
46.527,101,11.96,39,40,40-4,DEE/+
53.996,109,13.08,25,40,40-4,DEE/+
55.896,191,16.949,53,40,40-6,+/+
56.641,177,16.104,45,40,40-6,+/+
52.875,155,14.881,51,40,40-6,+/+
60.07,194,16.812,36,40,40-6,+/+
58.13,198,16.873,49,40,40-6,+/+
52.122,147,14.893,47,40,40-6,+/+
49.425,68,9.638,30,41,41-3,+/+
50.331,120,12.501,50,41,41-3,+/+
56.774,149,14.785,32,41,41-3,+/+
48.296,87,10.554,43,41,41-3,+/+
43.896,107,10.941,44,41,41-3,+/+
51.547,109,12.713,46,41,41-4,DEE/DEE
49.45,103,12.183,43,41,41-4,DEE/DEE
48.599,62,9.076,33,41,41-4,DEE/DEE
58.108,140,15.02,53,39,39-1,DEE/+
55.105,119,13.584,26,39,39-1,DEE/+
52.109,109,12.357,33,39,39-1,DEE/+
54.227,107,12.865,33,39,39-1,DEE/+
56.485,118,13.591,34,39,39-1,DEE/+
54.484,125,13.454,40,39,39-1,DEE/+
50.512,112,12.658,51,39,39-2,DEE/DEE
58.361,164,15.621,43,39,39-2,DEE/DEE
50.764,104,12.84,42,39,39-2,DEE/DEE
48.308,116,12.607,48,39,39-2,DEE/DEE
43.956,96,11.271,45,39,39-2,DEE/DEE
56.937,132,13.999,44,39,39-3,+/+
54.587,174,15.677,58,39,39-3,+/+
58.179,169,15.682,60,39,39-3,+/+
58.572,172,15.882,50,39,39-3,+/+
55.499,170,16.143,49,39,39-3,+/+
